url,name,summary,category_id
https://github.com/simonw/sqlite-utils,sqlite-utils,Python CLI utility and library for manipulating SQLite databases.,utilities
https://github.com/simonw/datasette,datasette,An open source multi-tool for exploring and publishing data.,utilities
https://github.com/dpapathanasiou/simple-graph,simple-graph,A graph database in SQLite inspired by 'SQLite as a document database'.,application
https://github.com/rqlite/rqlite,rqlite,A distributed relational database.,utilities
https://github.com/inukshuk/sqleton,sqleton,A tool to visualise SQLite database schemas.,utilities
https://github.com/cldellow/sqlite-parquet-vtable,sqlite-parquet-vtable,A SQLite virtual table extension to expose Parquet files as SQL tables.,extensions
https://www.zetetic.net/sqlcipher/,SQLCipher,"A SQLite extension adding on-the-fly encryption, tamper detection, strong key derivation and memory sanitisation.",extensions
https://github.com/benbjohnson/litestream,Litestream,Litestream is a standalone streaming replication tool for SQLite.,utilities
https://www.gaia-gis.it/fossil/libspatialite/,SpatiaLite,A library intended to extend the SQLite core to support fully fledged Spatial SQL capabilities.,extensions
https://github.com/nalgeon/sqlean,SQLean,"Extends SQLite with json1, math, re, stats, text, unicode and vsv at once.",extensions
https://github.com/thombashi/sqlitebiter,sqlitebiter,A CLI tool to convert CSV / Excel / HTML / JSON / Jupyter Notebook / LDJSON / LTSV / Markdown / SQLite / SSV / TSV / Google-Sheets to a SQLite database file.,utilities
https://github.com/aergoio/litetree,LiteTree,A modified version of the SQLite engine to support branches a-la Git.,application
https://github.com/epilys/bibliothecula,bibliothecula,"Document organizer with tags and full-text-search, in a simple and clean sqlite3 schema",application
https://github.com/dyedgreen/deno-sqlite,deno-sqlite,A Deno module with SQLite embedded as WebAssembly,javascript
https://sqlime.org/,sqlime,"An online SQLite playground for debugging and sharing SQL snippets. Kinda like JSFiddle or CodePen, but for SQL instead of JavaScript.",utilities
https://github.com/backtrace-labs/verneuil,Verneuil,Verneuil is a VFS extension for SQLite that asynchronously replicates databases to S3-compatible blob stores.,extensions
https://github.com/simonw/git-history,git-history,Tools for analyzing Git history using SQLite,application
https://github.com/x2bool/xlite,XLite,A SQLite extension to query Excel files as virtual tables.,extensions
https://github.com/phiresky/sqlite-zstd,sqlite-zstd,Transparent dictionary-based row-level compression for SQLite.,extensions
https://github.com/asg017/sqlite-lines,sqlite-lines,"A SQLite extension for reading large files line-by-line (NDJSON, logs, txt, etc.)",extensions
https://github.com/asg017/sqlite-html,sqlite-html,"A SQLite extension for querying, manipulating, and creating HTML elements.",extensions
https://github.com/maxpert/marmot,marmot,A distributed SQLite replicator.,application
https://libsql.org/,libSQL,"LibSQL is a fork of SQLite that is both Open Source, and Open Contributions.",application
https://github.com/chiselstrike/chiselstore,ChiselStore,"ChiselStore is an embeddable, distributed SQLite for Rust, powered by Little Raft.",application
https://dqlite.io/,Dqlite,"Dqlite is a fast, embedded, persistent SQL database with Raft consensus that is perfect for fault-tolerant IoT and Edge devices.",application
https://github.com/simonw/sqlite-diffable,sqlite-difftable,Tools for dumping/loading a SQLite database to diffable directory structure - GitHub - simonw/sqlite-diffable: Tools for dumping/loading a SQLite database to diffable directory structure.,application
https://github.com/ploomber/ploomber,Ploomber,"The fastest way to build data pipelines. Develop iteratively, deploy anywhere.",application
https://github.com/0x6b/libgsqlite,libgsqlite,A SQLite extension which loads a Google Sheet as a virtual table.,extensions
https://github.com/vlcn-io/cr-sqlite,cr-sqlite,"Convergent, Replicated SQLite. Multi-writer and CRDT support for SQLite.",extensions
https://www.sqlteaching.com/,SQL Teaching,An interactive tutorial to learn the rudiments of SQL using SQLite in the browser.,tutorial
https://github.com/asg017/sqlite-loadable-rs,sqlite-loadable-rs,A framework for writing fast and performant SQLite extensions in Rust,utilities
https://github.com/losfair/mvsqlite,mvSQLite,MVCC SQLite that runs on FoundationDB.,utilities
https://github.com/superfly/litefs,litefs,FUSE-based file system for replicating SQLite databases across a cluster of machines,application
https://github.com/jakethaw/pivot_vtab,pivot_vtab,An extension implementing pivot tables as virtual tables.,extensions
https://github.com/asg017/sqlite-xsv,sqlite-xsv,A SQLite extension to query CSV as virtual tables.,extensions
https://github.com/mycelial/mycelite,Mycelite,A SQLite extension that allows you to synchronize changes from one instance of SQLite to another.,extensions
https://sql.ophir.dev/,SQLPage,A web server driven by SQL queries.,application
https://github.com/zknill/sqledge,SQLedge,A tool to stream changes from Postges to SQLite so the database can run on the edge.,application
https://github.com/orbitinghail/sqlsync,SQLSync,"A collaborative offline-first wrapper around SQLite. It is designed to synchronize web application state between users, devices, and the edge.",application
https://github.com/dgllghr/stanchion,Stanchion,A SQLite extension that brings column-oriented tables to SQLite,extensions
https://gitlab.com/Screwtapello/sqlite-schema-diagram/,sqlite-schema-diagram,A SQLite schema diagram generator.,utilities
https://kerkour.com/sqlite-for-servers,Optimising SQLite for servers,A tutorial on how to optimise SQLite for backend applications.,tutorial
https://github.com/nalgeon/redka,Redka,Redis re-implemented with SQLite. Contribute to nalgeon/redka development by creating an account on GitHub.,application
